No.,종목코드,종목명,수량(주),평가금액(원),비중(%)
107,US29444U7000,Equinix Inc,2.330000,2731625,0.19%
108,US45866F1049,Intercontinental Exchange Inc,14.190000,2630754,0.19%
109,US6974351057,Palo Alto Networks Inc,7.700000,2744806,0.19%
110,US8725901040,T-MOBILE US INC.,12.620000,2747185,0.19%
111,US12572Q1058,CME GROUP INC,8.940000,2594012,0.18%
112,US1264081035,CSX Corp,49.000000,2471147,0.18%
113,US8243481061,Sherwin-Williams Co/The,5.830000,2487924,0.18%
114,US94106L1098,Waste Management Inc,9.100000,2510111,0.18%
115,US02209S1033,Altria Group Inc,43.860000,2387646,0.17%
116,US0758871091,BECTON_DICKINSON,7.220000,2341144,0.17%
117,US1696561059,Chipotle Mexican Grill Inc,0.680000,2377980,0.17%
118,US1941621039,Colgate-Palmolive Co,20.420000,2337395,0.17%
119,US26441C2044,DUKE ENERGY CORP,19.100000,2342138,0.17%
120,US4523081093,ILLINOIS TOOL WORKS INC,6.790000,2337727,0.17%
121,US8425871071,SOUTHERN CO                   ,27.040000,2421423,0.17%
122,AN8068571086,SCHLUMBERGER LTD,35.420000,2322314,0.16%
123,US0090661010,Airbnb Inc,10.770000,2225631,0.16%
124,US0404131064,Arista Networks Inc,6.230000,2228592,0.16%
125,US26875P1012,EOG Resources Inc,14.470000,2241813,0.16%
126,US58155Q1031,McKesson Corporation,3.290000,2234598,0.16%
127,US7010941042,Parker-Hannifin Corp,3.190000,2250321,0.16%
128,US87612E1064,TARGET,11.480000,2297177,0.16%
129,IE00BK9ZQ967,Trane Technologies plc,5.680000,2134059,0.15%
130,IE00BLP1HW54,AON PLC,4.970000,2086128,0.15%
131,US0320951017,AMPHENOL CORP CL-A-,14.820000,2099770,0.15%
132,US40412C1018,HCA Holdings Inc,4.920000,2048638,0.15%
133,US56585A1025,Marathon Petroleum Corp,9.430000,2105485,0.15%
134,US6668071029,Northrop Grumman Corp,3.550000,2159584,0.15%
135,US67103H1077,O'Reilly Automotive Inc,1.490000,2091888,0.15%
136,US70450Y1038,PayPal Holdings Inc,26.730000,2075954,0.15%
137,US7185461040,Phillips 66,10.920000,2131051,0.15%
138,US8936411003,TransDigm Group Inc,1.370000,2175308,0.15%
139,US9029733048,US Bancorp,38.610000,2124972,0.15%
140,NL0009538784,NXP Semiconductors NV,6.410000,2043344,0.14%
141,US2910111044,EMERSON_ELECTRIC,14.140000,1981593,0.14%
142,US3695501086,General Dynamics Corp,5.620000,2037088,0.14%
143,US5719032022,MARRIOTT INTERNATION,6.110000,2027491,0.14%
144,US6153691059,Moody's Corp,3.930000,1997653,0.14%
145,US6558441084,NORFOLK SOUTHERN CORP,5.600000,1909537,0.14%
146,US6934751057,PNC FINANCIAL SERVICES GROUP,9.910000,1917724,0.14%
147,US6937181088,PACCAR Inc,13.000000,1912327,0.14%
148,US7766961061,ROPER_INDUSTRIES,2.660000,1966052,0.14%
149,US0527691069,AUTODESK,5.320000,1819654,0.13%
150,US1729081059,CINTAS CORP,2.150000,1794540,0.13%
151,US2788651006,Ecolab Inc,6.310000,1845342,0.13%
152,US31428X1063,FedEx Corp,5.750000,1868617,0.13%
153,US35671D8570,Freeport-McMoRan Inc,35.550000,1829750,0.13%
154,US37045V1008,GENERAL MOTORS CO,33.950000,1777674,0.13%
155,US6200763075,Motorola Solutions Inc,4.100000,1806518,0.13%
156,US7237871071,Pioneer Natural Resources Co,5.800000,1805815,0.13%
157,US0091581068,Air Products and Chemicals Inc,5.520000,1700858,0.12%
158,US0268747849,AMERICAN_INTL_GROUP,17.410000,1642481,0.12%
159,US0533321024,AUTOZONE INC,0.460000,1689084,0.12%
160,US14040H1059,Capital One Financial Corp,9.480000,1697861,0.12%
161,US28176E1082,Edwards Lifesciences Corp,15.050000,1755164,0.12%
162,US3635761097,Arthur J Gallagher & Co,5.350000,1742258,0.12%
163,US43300A2033,Hilton Worldwide Holdings Inc,6.360000,1713771,0.12%
164,US5500211090,Lululemon Athletica Inc,2.860000,1733020,0.12%
165,US7782961038,ROSS STORES INC,8.390000,1640445,0.12%
166,US8288061091,SIMON PROPERTY GP,8.080000,1629411,0.12%
167,US88579Y1010,3M CO                         ,13.730000,1685469,0.12%
168,US89417E1091,TRAVELERS COMPANIES,5.700000,1686523,0.12%
169,US95040Q1040,Welltower Inc,13.730000,1714525,0.12%
170,US14448C1045,CARRIER GLOBAL CORP,20.830000,1492976,0.11%
171,US22822V1017,Crown Castle Inc,10.790000,1550610,0.11%
172,US2521311074,Dexcom Inc,9.580000,1498240,0.11%
173,US3453708600,Ford Motor Co,97.500000,1572842,0.11%
174,US4448591028,Humana inc,3.040000,1489340,0.11%
175,US45168D1046,IDEXX Laboratories Inc,2.050000,1558847,0.11%
176,US46266C1053,IQVIA Holdings Inc,4.560000,1501134,0.11%
177,US55354G1004,MSCI INC,1.980000,1490228,0.11%
178,US5950171042,MICROCHIP TECHNOLOGY INC,13.430000,1499740,0.11%
179,US6703461052,NUCOR CORP,6.110000,1517914,0.11%
180,US74460D1090,PUBLIC STORAGE INC,3.930000,1492826,0.11%
181,US8168511090,SEMPRA ENERGY,15.610000,1481809,0.11%
182,US89832Q1094,Truist Financial Corp,33.070000,1568736,0.11%
183,US9113631090,United Rentals Inc,1.700000,1490666,0.11%
184,US91913Y1001,Valero Energy Corp,8.440000,1570238,0.11%
185,CH0102993182,TE CONNECTIVITY LTD,7.700000,1472020,0.10%
186,US0010551028,AFLAC INC,13.180000,1397266,0.10%
187,US0200021014,ALLSTATE CORP,6.510000,1388015,0.10%
188,US0255371017,AMERICAN ELECTRIC POWER       ,13.050000,1424303,0.10%
189,US03076C1062,Ameriprise Financial Inc,2.510000,1347448,0.10%
190,US0311001004,AMETEK Inc,5.730000,1359141,0.10%
191,US0640581007,Bank of New York Mellon Corp,19.080000,1405893,0.10%
192,US15135B1017,Centene Corp,13.250000,1412094,0.10%
193,US21037T1097,Constellation Energy Corp,7.930000,1407908,0.10%
194,US2172041061,Copart Inc,21.660000,1424463,0.10%
195,US23331A1097,DR Horton Inc,7.470000,1442965,0.10%
196,US2538681030,Digital Realty Trust Inc,7.530000,1386903,0.10%
197,US3119001044,Fastenal Co,14.160000,1358111,0.10%
198,US34959E1091,Fortinet Inc,15.810000,1409046,0.10%
199,US3848021040,GRAINGER_(W.W.),1.110000,1415624,0.10%
200,US42809H1077,Hess Corp,6.870000,1368303,0.10%
201,US4943681035,Kimberly-Clark Corp,8.410000,1354998,0.10%
202,US59156R1086,MetLife Inc,15.430000,1414200,0.10%
203,US61174X1090,MONSTER BEVERAGE CORP,18.320000,1343797,0.10%
204,US6826801036,ONEOK Inc,14.440000,1416871,0.10%
205,US9694571004,WILLIAMS COS INC,30.180000,1401918,0.10%
206,IE00BY7QL619,Johnson Controls International,16.870000,1308392,0.09%
207,US00846U1016,Agilent Technologies,7.250000,1273959,0.09%
208,US03073E1055,Cencora Inc,4.160000,1297863,0.09%
209,US1924461023,COGNIZANT TECHN SOLUTIONS,12.440000,1315670,0.09%
210,US21036P1084,Constellation Brands Inc,4.000000,1308106,0.09%
211,US22052L1044,Corteva Inc,17.480000,1272876,0.09%
212,US2310211063,COMMINS INC (CMI US),3.520000,1231624,0.09%
213,US25746U1097,DOMINION RESOURCES INC/VA,20.750000,1259392,0.09%
214,US2605571031,Dow Inc,17.380000,1295435,0.09%
215,US31620M1062,FIDELITY NATIONAL INFORMATION SERVICES INC,14.720000,1255867,0.09%
216,US3703341046,GENERAL MILLS INC,14.420000,1248889,0.09%
217,US45687V1061,Ingersoll-Rand ILC,10.060000,1215665,0.09%
218,US5024311095,L3Harris Technologies Inc,4.710000,1337932,0.09%
219,US5260571048,Lennar Corp,6.210000,1269251,0.09%
220,US6745991058,OCCIDENTAL_PETROLEUM,16.370000,1318856,0.09%
221,US6795801009,OLD DOMINION FREIGHT LINE,2.230000,1296865,0.09%
222,US68902V1070,Otis Worldwide Corp,10.160000,1249656,0.09%
223,US7043261079,PAYCHEX INC,7.980000,1324592,0.09%
224,US7443201022,PRUDENTIAL FINANCIAL INC,8.940000,1288914,0.09%
225,US7561091049,Realty Income Corp,17.960000,1262649,0.09%
226,US7607591002,Republic Services Inc,5.070000,1237142,0.09%
227,US8718291078,Sysco corp,12.490000,1337249,0.09%
228,US9884981013,YUM BRANDS,6.970000,1274020,0.09%
229,BMG0450A1053,Arch Capital Group Ltd,9.270000,1058878,0.08%
230,US09062X1037,Biogen Inc,3.600000,1066035,0.08%
231,US12514G1085,CDW CORP,3.340000,1100537,0.08%
232,US22160N1090,CoStar Group Inc,10.160000,1115238,0.08%
233,US2855121099,ELECTRONIC ARTS,6.080000,1161432,0.08%
234,US2944291051,EQUIFAX INC,3.040000,1072981,0.08%
235,US30161N1019,EXELON CORP,24.680000,1183552,0.08%
236,US36266G1076,GE HealthCare Technologies Inc,9.730000,1134993,0.08%
237,US3666511072,Gartner Inc,1.950000,1176932,0.08%
238,US37940X1028,Global Payments Inc,6.460000,1138839,0.08%
239,US49177J1025,Kenvue Inc,42.740000,1091660,0.08%
240,US49456B1017,KINDER MORGAN INC/DELAWARE,47.960000,1101787,0.08%
241,US5184391044,Estee Lauder Cos Inc/The,5.780000,1143745,0.08%
242,US5732841060,Martin Marietta Materials Inc,1.550000,1130881,0.08%
243,US60770K1079,Moderna Inc,8.230000,1089278,0.08%
244,US6098391054,Monolithic Power Systems Inc,1.190000,1174137,0.08%
245,US6516391066,Newmont Corp,28.580000,1175054,0.08%
246,US6821891057,ON SEMICONDUCTOR CORP,10.720000,1118065,0.08%
247,US69331C1080,P G & E CORP                ,52.910000,1172546,0.08%
248,US6935061076,PPG Industries Inc,5.850000,1116406,0.08%
249,US74762E1029,Quanta Services Inc,3.600000,1116107,0.08%
250,US7739031091,Rockwell Automation Inc,2.860000,1060611,0.08%
251,US92345Y1064,VERISK ANALYTICS INC,3.600000,1150031,0.08%
252,US9291601097,Vulcan Materials Co,3.290000,1125137,0.08%
253,US98389B1008,Xcel Energy Inc,13.710000,1082654,0.08%
254,IE00BDB6Q211,Willis Towers Watson PLC,2.560000,945133,0.07%
255,LR0008862868,ROYAL CARIBBEAN CRUISES LTD,5.850000,954295,0.07%
256,US03662Q1058,ANSYS Inc,2.150000,973933,0.07%
257,US0394831020,Archer-Daniels-Midland Co,13.230000,945610,0.07%
258,US05722G1004,Baker Hughes Co,24.960000,970075,0.07%
259,US12504L1098,CBRE GROUP INC,7.550000,919789,0.07%
260,US16119P1084,Charter Communications Inc,2.480000,980361,0.07%
261,US2091151041,Consolidated Edison,8.560000,1001590,0.07%
262,US25179M1036,Devon Energy Corp,15.890000,929947,0.07%
263,US25278X1090,Diamondback Energy Inc,4.430000,1042058,0.07%
264,US2547091080,Discover Financial Services,6.210000,992357,0.07%
265,US2566771059,DOLLAR GENERAL CORP.,5.450000,1026216,0.07%
266,US2567461080,Dollar Tree Inc,5.190000,999986,0.07%
267,US26614N1028,DUPONT DE NEMOURS INC,10.670000,993129,0.07%
268,US30225T1025,Extra Space Storage Inc,5.240000,986116,0.07%
269,US3032501047,Fair Isaac Corp,0.610000,1045951,0.07%
270,US34959J1088,Fortive Corp,8.740000,996826,0.07%
271,US4062161017,HALLIBURTON CO,22.200000,1043051,0.07%
272,US4165151048,Hartford Financial Services Group,7.450000,937255,0.07%
273,US4278661081,Hershey Co/The,3.720000,958278,0.07%
274,US49271V1008,Keurig Dr Pepper Inc,24.960000,1008944,0.07%
275,US5007541064,Kraft Heinz Co/The,19.760000,957603,0.07%
276,US5010441013,Kroger Co/The,16.420000,1045544,0.07%
277,US7445731067,PUBLIC SERVICE ENTERPRISE GP  ,12.360000,993156,0.07%
278,US9256521090,VICI Properties Inc,25.670000,1014753,0.07%
279,US98419M1009,Xylem Inc/NY,5.980000,995718,0.07%
280,NL0009434992,LyondellBasell Industries NV,6.360000,832040,0.06%
281,US0534841012,AVALONBAY COMMUNITIE,3.520000,825143,0.06%
282,US11133T1034,Broadridge Financial Solutions,2.940000,782001,0.06%
283,US14149Y1082,Cardinal Health Inc ,6.110000,871387,0.06%
284,US1713401024,Church & Dwight Co Ltd,6.110000,810313,0.06%
285,US2193501051,CORNING INC,19.080000,830178,0.06%
286,US2473617023,Delta Air Lines Inc,15.990000,896426,0.06%
287,US2810201077,Edison International Common Stock,9.530000,855184,0.06%
288,US40434L1052,HEWLETT_PACKARD,21.560000,830759,0.06%
289,US4432011082,HOWMET AEROSPACE INC,9.730000,842567,0.06%
290,US49338L1035,Keysight Technologies Inc,4.430000,878789,0.06%
291,US5926881054,METTLER TOLEDO INTERNATIONAL INC,0.530000,841422,0.06%
292,US62944T1051,NVR Inc,0.080000,802144,0.06%
293,US74144T1088,T Rowe Price Group Inc,5.570000,822176,0.06%
294,US7611521078,ResMed Inc,3.650000,889527,0.06%
295,US8740541094,Take-Two Interactive Software Inc,3.930000,797387,0.06%
296,US8923561067,Tractor Supply Co,2.710000,864636,0.06%
297,US90384S3031,ULTA SALON COSMETICS & FRAGRANCE,1.240000,897938,0.06%
298,US92939U1060,WEC Energy Group Inc,7.850000,817583,0.06%
299,US9297401088,Westinghouse Air Brake Technol,4.460000,818135,0.06%
300,US9553061055,West Pharmaceutical Services I,1.820000,871828,0.06%
301,US9621661043,Weyerhaeuser Co,18.090000,811180,0.06%
302,US98956P1021,Zimmer Holdings,5.190000,887940,0.06%
303,CH0114405324,Garmin Ltd,3.800000,677441,0.05%
304,IE00BFY8C754,STERRIS,2.460000,772823,0.05%
305,JE00B783TY65,Aptiv PLC,7.040000,729004,0.05%
306,US0162551016,Align Technology Inc,1.770000,745774,0.05%
307,US0304201033,AMERICAN WATER WORKS CO INC,4.840000,770983,0.05%
308,US0584981064,Ball Corp,7.830000,642187,0.05%
309,US0718131099,BAXTER_INTERNATIONAL,12.590000,703973,0.05%
310,US1152361010,Brown & Brown Inc,5.850000,654987,0.05%
311,US12008R1077,Builders FirstSource Inc,3.070000,769711,0.05%
312,US12503M1080,Cboe Global Markets Inc,2.640000,687025,0.05%
313,US1270971039,Cabot Oil & Gas Corp,18.650000,653593,0.05%
314,US2166485019,Cooper Cos Inc/The,4.960000,645520,0.05%
315,US2333311072,DTE_ENERGY,5.120000,729311,0.05%
316,US2371941053,DARDEN RESTAURANTS INC,3.020000,677185,0.05%
317,US2600031080,DOVER CORP,3.470000,753196,0.05%
318,US2786421030,EBAY INC,12.870000,758515,0.05%
319,US29364G1031,ENTERGY CORP,5.270000,712098,0.05%
320,US29476L1070,EQUITY RESIDENTIAL,8.560000,688614,0.05%
321,US30040W1080,Eversource Energy,8.690000,672122,0.05%
322,US3167731005,Fifth Third Bancorp,16.930000,752629,0.05%
323,US3379321074,FIRSTENERGY CORP              ,12.820000,636465,0.05%
324,US3390411052,FleetCor Technologies Inc,1.800000,660833,0.05%
325,US3724601055,Genuine Parts Co,3.500000,680700,0.05%
326,US42824C1099,Hewlett Packard Enterprise Co,31.820000,638250,0.05%
327,US4435106079,Hubbell Inc,1.340000,650492,0.05%
328,US4523271090,Illumina Inc,3.930000,709039,0.05%
329,US4595061015,International Flavors & Fragra,6.330000,669468,0.05%
330,US46284V1017,Iron Mountain Inc,7.250000,695746,0.05%
331,US5178341070,LAS VEGAS SANDS CORP,9.150000,653384,0.05%
332,US55261F1049,M&T Bank Corp,4.130000,758480,0.05%
333,US60855R1005,Molina Healthcare IncMolina Healthcare Inc,1.440000,774859,0.05%
334,US6311031081,NASDAQ OMX Group/The,8.440000,635374,0.05%
335,US69351T1060,PPL CORPORATION          ,18.270000,652921,0.05%
336,US69370C1009,PTC Inc,2.960000,706714,0.05%
337,US7458671010,PulteGroup Inc,5.350000,745410,0.05%
338,US7547301090,RAYMOND JAMES FINANCIAL INC,4.660000,734743,0.05%
339,US78410G1040,SBA Communications Corp,2.690000,756178,0.05%
340,US8447411088,SOUTHWEST AIRLINES,14.800000,674486,0.05%
341,US8574771031,STATE_STREET,7.650000,737391,0.05%
342,US87612G1013,TARGA RESOURCES CORP,5.520000,722662,0.05%
343,US8793601050,Teledyne Technologies Inc,1.170000,671089,0.05%
344,US9344231041,Warner Bros Discovery Inc,55.030000,700221,0.05%
345,US9418481035,WATERS CORPORATION,1.470000,646744,0.05%
346,BMG3223R1088,Everest Group Ltd.,1.090000,537445,0.04%
347,IE00BKVD2N49,Seagate Technology Holdings,4.790000,561170,0.04%
348,PA1436583006,CARNIVAL CORP,24.980000,505707,0.04%
349,US00971T1016,AKAMAI_TECHNOLOGIES,3.780000,538084,0.04%
350,US0152711091,ALEXANDRIA REAL EST,3.880000,625239,0.04%
351,US0236081024,Ameren Corp,6.540000,616382,0.04%
352,US0495601058,Atmos Energy Corp,3.700000,562351,0.04%
353,US0536111091,Avery Dennison Corp,2.000000,576110,0.04%
354,US05464C1018,Axon Enterprise Inc,1.750000,632484,0.04%
355,US0844231029,W R Berkley Corp,5.070000,578385,0.04%
356,US1252691001,CF INDUSTRIES HOLDINGS INC,4.740000,502822,0.04%
357,US1258961002,CMS Energy Corp,7.250000,551386,0.04%
358,US15189T1079,CenterPoint Energy Inc,15.680000,581649,0.04%
359,US1720621010,Cincinnati Financial Corp,3.900000,581951,0.04%
360,US1890541097,CLOROX COMPANY,3.090000,627611,0.04%
361,US26884L1098,EQT Corp,10.210000,507160,0.04%
362,US29355A1079,Enphase Energy Inc,3.400000,558615,0.04%
363,US29414B1044,EPAM Systems Inc,1.440000,583674,0.04%
364,US30212P3038,Expedia Group Inc,3.290000,609117,0.04%
365,US3021301094,Expeditors International of Washington Inc,3.600000,579304,0.04%
366,US3030751057,FACTSET RESEARCH SYSTEMS INC,0.940000,574110,0.04%
367,US3364331070,FIRST_SOLAR,2.660000,512410,0.04%
368,US4364401012,HOLOGIC INC,6.080000,614057,0.04%
369,US4456581077,J.B.HUNT TRANSPORT SCES INC,2.030000,570188,0.04%
370,US4461501045,Huntington Bancshares Inc/OH,35.900000,614488,0.04%
371,US45167R1041,IDEX Corp,1.870000,585231,0.04%
372,US46187W1071,INVITATION HOMES INC,14.290000,629942,0.04%
373,US4663131039,JABIL inc,3.170000,591879,0.04%
374,US46982L1089,JACOBS SOLUTIONS INC COM NPV,3.140000,609932,0.04%
375,US4878361082,KELLANOVA,6.560000,497512,0.04%
376,US50540R4092,Laboratory Corp of America Hol,2.100000,608688,0.04%
377,US5132721045,Lamb Weston Holdings Inc,3.620000,499938,0.04%
378,US5253271028,Leidos Holdings Inc,3.420000,567864,0.04%
379,US5745991068,Masco Corp,5.600000,554026,0.04%
380,US5797802064,McCormick & Co Inc/MD,6.230000,562123,0.04%
381,US64110D1046,NETAPP INC,5.170000,591995,0.04%
382,US6658591044,NOTHERN TRUST CORP,5.140000,547170,0.04%
383,US6819191064,OMNICOM GROUP INC,4.920000,578299,0.04%
384,US6951561090,Packaging Corp of America,2.230000,514080,0.04%
385,US74251V1026,Principal Financial Group Inc,5.450000,582782,0.04%
386,US7591EP1005,Regions Financial Corp,23.060000,559530,0.04%
387,US83088M1027,Skyworks Solutions Inc,3.950000,551664,0.04%
388,US8581191009,STEEL DYNAMICS INC,3.780000,627790,0.04%
389,US87165B1035,SYNCHRONY FINANCIAL,10.260000,542145,0.04%
390,US8807701029,Teradyne Inc,3.830000,522415,0.04%
391,US8832031012,Textron Inc,4.860000,552294,0.04%
392,US8962391004,Trimble Inc,6.180000,505050,0.04%
393,US9022521051,TYLER TECHNOLOGIES INC,1.040000,604359,0.04%
394,US9024941034,Tyson Foods Inc,7.090000,500999,0.04%
395,US92276F1003,Ventas Inc,10.010000,587424,0.04%
396,US92338C1036,Veralto Corp,5.450000,623404,0.04%
397,US92343E1029,VeriSign Inc,2.230000,576618,0.04%
398,US92556V1061,Viatris Inc,29.750000,529019,0.04%
399,US9314271084,Walgreens Boots Alliance Inc,17.810000,511319,0.04%
400,US9581021055,WESTERN_DIGITAL,8.030000,595317,0.04%
401,CH1300646267,BUNGE GLOBAL SA ORD NPV,3.600000,451512,0.03%
402,IE00BFRT3W74,ALLEGION PLC,2.180000,376218,0.03%
403,IE00BLS09M33,PENTAIR PLC,4.100000,410865,0.03%
404,JE00BJ1F3079,Amcor PLC,35.850000,441853,0.03%
405,US00130H1059,AES CORPORATION/VA,16.600000,353513,0.03%
406,US0126531013,Albemarle Corp,2.910000,457735,0.03%
407,US0188021085,Alliant Energy Corp,6.330000,409718,0.03%
408,US0865161014,BEST BUY,4.840000,484505,0.03%
409,US09073M1045,Bio-Techne Corp,3.900000,372498,0.03%
410,US1431301027,CarMax Inc,3.930000,381275,0.03%
